ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,note_classif.label,note_indicator.label,note_source.label
Armenia,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2013,357.7,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies
Armenia,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2014,381.28,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2010,3956.29,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2011,4564.89,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2012,4797.11,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2013,4523.98,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2015,3633.61,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,3969.22,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,3836.16,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,"HIES - Household, Income and Labour Dynamics Survey",Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,3874.3,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Australia,Average monthly earnings of employees by sex and economic activity,ES - Survey of Employee Earnings,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2014,4887.08,,Currency: AUS - Australian dollar (AUD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | ILO calculation: Monthly figure calculated as the hourly figure multiplied by the actual average working hours per week and then by 4.33 weeks,Data reference period: May | Reference group coverage: Adults
Australia,Average monthly earnings of employees by sex and economic activity,ES - Survey of Employee Earnings,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2016,4185.61,,Currency: AUS - Australian dollar (AUD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | ILO calculation: Monthly figure calculated as the hourly figure multiplied by the actual average working hours per week and then by 4.33 weeks,Data reference period: May | Reference group coverage: Adults
Australia,Average monthly earnings of employees by sex and economic activity,ES - Survey of Employee Earnings,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,4467.33,,Currency: AUS - Australian dollar (AUD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | ILO calculation: Monthly figure calculated as the hourly figure multiplied by the actual average working hours per week and then by 4.33 weeks,Data reference period: May | Reference group coverage: Adults
Austria,Average monthly earnings of employees by sex and economic activity,HIES - EU Statistics on Income and Living Conditions,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,4727.98,,Currency: AUT - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2011,3365.75,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2012,3182.42,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2013,3337.56,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2015,2883.62,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
